Date,AMZN,BAC,F,AMGN,MSFT,GOOG,AAPL,JPM,WMT,TGT
2021-05-26,163.25799560546875,41.01292037963867,13.533697128295898,229.1307830810547,248.9247283935547,121.67649841308594,125.95442962646484,156.4324951171875,139.42095947265625,222.27420043945312
2021-05-27,161.5054931640625,41.51046371459961,14.487872123718262,226.0187225341797,246.76693725585938,120.12550354003906,124.39552307128906,158.86842346191406,138.9502410888672,222.5286865234375
2021-05-28,161.15350341796875,41.3543701171875,14.1470947265625,228.54489135742188,247.13316345214844,120.5780029296875,123.7302474975586,158.7621307373047,139.28367614746094,222.0882568359375
2021-06-01,160.9324951171875,41.871421813964844,14.419716835021973,224.35704040527344,244.87643432617188,121.4905014038086,123.40257263183594,160.51174926757812,138.92080688476562,222.43081665039062
2021-06-02,161.69949340820312,41.890933990478516,14.517081260681152,225.87464904785156,244.7774658203125,121.06400299072266,124.17707824707031,160.52139282226562,138.61679077148438,223.5172119140625
2021-06-03,159.35049438476562,42.370975494384766,15.568620681762695,226.4317626953125,243.20367431640625,120.23049926757812,122.66780853271484,160.6277313232422,138.8619842529297,224.3001251220703
2021-06-04,160.31100463867188,42.390567779541016,15.549148559570312,227.4979248046875,248.23182678222656,122.58799743652344,125.00121307373047,160.8887176513672,139.10714721679688,226.4141387939453
2021-06-07,159.90049743652344,42.243614196777344,15.461519241333008,227.82447814941406,251.22103881835938,123.30449676513672,125.01113891601562,160.13473510742188,138.17550659179688,225.97373962402344
2021-06-08,163.20550537109375,42.00849533081055,15.218108177185059,227.4691162109375,249.9936981201172,124.14250183105469,125.84521484375,159.4967498779297,137.12620544433594,230.09408569335938
2021-06-09,164.0574951171875,41.45988082885742,15.072059631347656,230.0625,251.0032958984375,124.56999969482422,126.23245239257812,157.50547790527344,136.39071655273438,227.00135803222656
2021-06-10,167.4824981689453,40.842674255371094,14.711811065673828,234.98031616210938,254.61605834960938,126.08000183105469,125.21965789794922,155.0501708984375,137.17523193359375,226.72735595703125
2021-06-11,167.3415069580078,41.00922393798828,14.87732982635498,233.18417358398438,255.2594757080078,125.69650268554688,126.45089721679688,154.94384765625,138.0283966064453,227.98007202148438
2021-06-14,169.19349670410156,40.519386291503906,14.478135108947754,231.6665496826172,257.239013671875,126.35199737548828,129.55880737304688,152.31455993652344,137.8420867919922,228.10733032226562
2021-06-15,169.156494140625,40.54877471923828,14.604708671569824,230.3794708251953,255.724609375,126.03299713134766,128.7247314453125,150.00428771972656,137.29290771484375,227.61795043945312
2021-06-16,170.7624969482422,40.77410125732422,14.62418270111084,230.1201171875,254.75462341308594,125.69650268554688,129.2311248779297,151.0579376220703,134.49801635742188,226.33584594726562
2021-06-17,174.46200561523438,38.991092681884766,14.380770683288574,231.2535400390625,258.2386779785156,126.37100219726562,130.85955810546875,146.69834899902344,135.05699157714844,226.2967071533203
2021-06-18,174.34500122070312,37.991825103759766,14.137358665466309,229.25564575195312,256.7837219238281,125.56749725341797,129.53895568847656,142.98643493652344,132.55628967285156,225.6213836669922
2021-06-21,172.697998046875,38.942108154296875,14.390507698059082,230.75405883789062,259.95111083984375,126.45500183105469,131.365966796875,145.41270446777344,133.76251220703125,228.7924041748047
2021-06-22,175.27200317382812,39.15763854980469,14.517081260681152,230.4370880126953,262.80169677734375,126.99949645996094,133.03408813476562,145.20004272460938,134.3803253173828,232.15916442871094
2021-06-23,175.1909942626953,39.38296127319336,15.013641357421875,229.28448486328125,262.56414794921875,126.46150207519531,132.75607299804688,146.07969665527344,133.33102416992188,232.25701904296875
2021-06-24,172.45399475097656,40.000160217285156,14.857858657836914,231.43603515625,263.96966552734375,127.28199768066406,132.46812438964844,147.42333984375,134.26266479492188,234.73316955566406
2021-06-25,170.072998046875,40.77410125732422,14.789701461791992,233.09771728515625,262.31671142578125,126.99500274658203,132.1702423095703,148.91197204589844,135.85133361816406,235.4280548095703
2021-06-28,172.1945037841797,40.71532440185547,14.565764427185059,233.2514190673828,265.9789733886719,126.81950378417969,133.82846069335938,149.18263244628906,135.42965698242188,236.12290954589844
2021-06-29,172.40699768066406,40.058937072753906,14.614446640014648,232.8864288330078,268.631591796875,126.01850128173828,135.36752319335938,148.99896240234375,134.64512634277344,236.70037841796875
